#,topic,tentative_subtema,knowledge_class,relative_path,doc_id
489,presupuesto_hacienda,,normative_base,CORE ya Arriba/LEYES/PRESUPUESTO_HACIENDA/consolidado/Ley-2327-2023.md,CORE_ya_Arriba_LEYES_PRESUPUESTO_HACIENDA_consolidado_Ley-2327-2023.md
490,presupuesto_hacienda,,normative_base,CORE ya Arriba/LEYES/PRESUPUESTO_HACIENDA/EXPERTOS/EXPERTOS_Ley-225-1995.md,CORE_ya_Arriba_LEYES_PRESUPUESTO_HACIENDA_EXPERTOS_EXPERTOS_Ley-225-1995.md
491,presupuesto_hacienda,,normative_base,CORE ya Arriba/LEYES/PRESUPUESTO_HACIENDA/LOGGRO/PRACTICA_Ley-225-1995.md,CORE_ya_Arriba_LEYES_PRESUPUESTO_HACIENDA_LOGGRO_PRACTICA_Ley-225-1995.md
492,presupuesto_hacienda,,normative_base,CORE ya Arriba/LEYES/PRESUPUESTO_HACIENDA/LOGGRO/PRACTICA_Ley-2327-2023.md,CORE_ya_Arriba_LEYES_PRESUPUESTO_HACIENDA_LOGGRO_PRACTICA_Ley-2327-2023.md
493,presupuesto_hacienda,,normative_base,CORE ya Arriba/LEYES/PRESUPUESTO_HACIENDA/NORMATIVA/Ley-225-1995.md,CORE_ya_Arriba_LEYES_PRESUPUESTO_HACIENDA_NORMATIVA_Ley-225-1995.md
494,presupuesto_hacienda,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/PH-225-1995-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_PH-225-1995-LOGGRO.md
495,presupuesto_hacienda,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/PH-2327-2023-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_PH-2327-2023-LOGGRO.md
496,procedimiento_tributario,,interpretative_guidance,CORE ya Arriba/Corpus de Contabilidad/EXPERTOS/T-PT-procedimiento-tributario-interpretaciones-expertos.md,CORE_ya_Arriba_Corpus_de_Contabilidad_EXPERTOS_T-PT-procedimiento-tributario-interpretaciones-expertos.md
497,procedimiento_tributario,,practica_erp,CORE ya Arriba/Corpus de Contabilidad/LOGGRO/L-PT-procedimiento-tributario-guia-practica.md,CORE_ya_Arriba_Corpus_de_Contabilidad_LOGGRO_L-PT-procedimiento-tributario-guia-practica.md
498,procedimiento_tributario,,normative_base,CORE ya Arriba/Corpus de Contabilidad/NORMATIVA/N-PT-procedimiento-tributario-fiscalizacion-dian.md,CORE_ya_Arriba_Corpus_de_Contabilidad_NORMATIVA_N-PT-procedimiento-tributario-fiscalizacion-dian.md
499,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/consolidado/Ley-1564-2012.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_consolidado_Ley-1564-2012.md
500,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/EXPERTOS/EXPERTOS_Ley-1437-2011.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_EXPERTOS_EXPERTOS_Ley-1437-2011.md
501,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/EXPERTOS/EXPERTOS_Ley-1438-2011.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_EXPERTOS_EXPERTOS_Ley-1438-2011.md
502,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/EXPERTOS/EXPERTOS_Ley-1474-2011.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_EXPERTOS_EXPERTOS_Ley-1474-2011.md
503,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/EXPERTOS/EXPERTOS_Ley-1564-2012.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_EXPERTOS_EXPERTOS_Ley-1564-2012.md
504,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/LOGGRO/PRACTICA_Ley-1438-2011.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_LOGGRO_PRACTICA_Ley-1438-2011.md
505,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/LOGGRO/PRACTICA_Ley-1474-2011.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_LOGGRO_PRACTICA_Ley-1474-2011.md
506,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/LOGGRO/PRACTICA_Ley-1564-2012.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_LOGGRO_PRACTICA_Ley-1564-2012.md
507,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/NORMATIVA/Ley-1438-2011.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_NORMATIVA_Ley-1438-2011.md
508,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/NORMATIVA/Ley-1474-2011.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_NORMATIVA_Ley-1474-2011.md
509,procedimiento_tributario,,normative_base,CORE ya Arriba/LEYES/PROCEDIMIENTO_FISCAL/NORMATIVA/Ley-1564-2012.md,CORE_ya_Arriba_LEYES_PROCEDIMIENTO_FISCAL_NORMATIVA_Ley-1564-2012.md
510,procedimiento_tributario,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/PF-1437-2011-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_PF-1437-2011-LOGGRO.md
511,procedimiento_tributario,,normative_base,CORE ya Arriba/LOGGRO_LEYES/PF-1438-2011-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_PF-1438-2011-LOGGRO.md
512,procedimiento_tributario,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/PF-1564-2012-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_PF-1564-2012-LOGGRO.md
